category,href,num_freelancers,date
Transport / Spedition,/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Transport-Freelancer,543,2025-03-18
Import / Export,/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Import-Export-Freelancer,494,2025-03-18
Leiter Einkauf und Lagerverwaltung,/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Leiter-Einkauf-Und-Lagerverwaltung-Freelancer,73,2025-03-18
Lagerleiter,/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Lagerleiter-Freelancer,22,2025-03-18
Lagermitarbeiter und Regalauffüller,/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Lagermitarbeiter-Und-Regalauff%C3%BCller-Freelancer,12,2025-03-18
"Kranführer, interner Warentransporteur",/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Kranf%C3%BChrer-Interner-Warentransporteur-Freelancer,8,2025-03-18
Arbeitskräfte Beladung und Bestellungsaufnahme,/Freelancer/K/Einkauf-Handel-Logistik-Freelancer/Arbeitskr%C3%A4fte-Beladung-Und-Bestellungsaufnahme-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
Administration und Kundenbetreuung,/Freelancer/K/Administration-Und-Kundenbetreuung-Freelancer,1064,2025-03-18
Administration und Kundenbetreuung,/Freelancer/K/Administration-Und-Kundenbetreuung-Freelancer/Administration-Und-Kundenbetreuung-sonstige-Freelancer,442,2025-03-18
Mitarbeiter Finanzen und Verwaltung,/Freelancer/K/Administration-Und-Kundenbetreuung-Freelancer/Mitarbeiter-Finanzen-Und-Verwaltung-Freelancer,253,2025-03-18
Leiter Administration und Kundenservice,/Freelancer/K/Administration-Und-Kundenbetreuung-Freelancer/Leiter-Administration-Und-Kundenservice-Freelancer,224,2025-03-18
Mitarbeiter Verwaltung,/Freelancer/K/Administration-Und-Kundenbetreuung-Freelancer/Mitarbeiter-Verwaltung-Freelancer,223,2025-03-18
Planer / Koordinatoren,/Freelancer/K/Administration-Und-Kundenbetreuung-Freelancer/Planer-/-Koordinatoren-Freelancer,112,2025-03-18
Personal- und Lohnverwalter,/Freelancer/K/Administration-Und-Kundenbetreuung-Freelancer/Personal-Und-Lohnverwalter-Freelancer,44,2025-03-18
Mitarbeiter Kundenservice,/Freelancer/K/Administration-Und-Kundenbetreuung-Freelancer/Mitarbeiter-Kundenservice-Freelancer,23,2025-03-18
Zeitplanersteller und Diensteinteiler,/Freelancer/K/Administration-Und-Kundenbetreuung-Freelancer/Zeitplanersteller-Und-Diensteinteiler-Freelancer,23,2025-03-18
Rezeptionisten,/Freelancer/K/Administration-Und-Kundenbetreuung-Freelancer/Rezeptionisten-Freelancer,9,2025-03-18
Telefonisten und Ansager,/Freelancer/K/Administration-Und-Kundenbetreuung-Freelancer/Telefonisten-Und-Ansager-Freelancer,9,2025-03-18
Weniger,,Weniger,2025-03-18
Verkauf und Handel,/Freelancer/K/Verkauf-Und-Handel-Freelancer,411,2025-03-18
Vertriebsleiter / Sales Manager,/Freelancer/K/Verkauf-Und-Handel-Freelancer/Vertriebsleiter-/-Sales-Manager-Freelancer,134,2025-03-18
Filialleiter Verkauf,/Freelancer/K/Verkauf-Und-Handel-Freelancer/Filialleiter-Verkauf-Freelancer,133,2025-03-18
Account Manager Unternehmensdienstleistungen,/Freelancer/K/Verkauf-Und-Handel-Freelancer/Account-Manager-Unternehmensdienstleistungen-Freelancer,87,2025-03-18
Immobilienmakler,/Freelancer/K/Verkauf-Und-Handel-Freelancer/Immobilienmakler-Freelancer,61,2025-03-18
Vertreter Artikel und Produkte,/Freelancer/K/Verkauf-Und-Handel-Freelancer/Vertreter-Artikel-Und-Produkte-Freelancer,14,2025-03-18
Vertreter Öffentlichkeitsarbeit und Werbung,/Freelancer/K/Verkauf-Und-Handel-Freelancer/Vertreter-%C3%96ffentlichkeitsarbeit-Und-Werbung-Freelancer,11,2025-03-18
Verkäufer,/Freelancer/K/Verkauf-Und-Handel-Freelancer/Verk%C3%A4ufer-Freelancer,6,2025-03-18
Händler,/Freelancer/K/Verkauf-Und-Handel-Freelancer/H%C3%A4ndler-Freelancer,5,2025-03-18
Verkauf und Handel,/Freelancer/K/Verkauf-Und-Handel-Freelancer/Verkauf-Und-Handel-sonstige-Freelancer,3,2025-03-18
Weniger,,Weniger,2025-03-18
Bauwesen und Bergbau,/Freelancer/K/Bauwesen-Und-Bergbau-Freelancer,343,2025-03-18
Projektleiter Bau,/Freelancer/K/Bauwesen-Und-Bergbau-Freelancer/Projektleiter-Bau-Freelancer,165,2025-03-18
Subunternehmer Bauwesen,/Freelancer/K/Bauwesen-Und-Bergbau-Freelancer/Subunternehmer-Bauwesen-Freelancer,86,2025-03-18
Finisher Bau,/Freelancer/K/Bauwesen-Und-Bergbau-Freelancer/Finisher-Bau-Freelancer,51,2025-03-18
Subunternehmer und Projektleiter im Tief- und Wasserbau,/Freelancer/K/Bauwesen-Und-Bergbau-Freelancer/Subunternehmer-Und-Projektleiter-Im-Tief-Und-Wasserbau-Freelancer,32,2025-03-18
Manager Bau und Rohstoffgewinnung,/Freelancer/K/Bauwesen-Und-Bergbau-Freelancer/Manager-Bau-Und-Rohstoffgewinnung-Freelancer,27,2025-03-18
Bohrarbeitenaufseher / Bohrarbeitenprüfer,/Freelancer/K/Bauwesen-Und-Bergbau-Freelancer/Bohrarbeitenaufseher-/-Bohrarbeitenpr%C3%BCfer-Freelancer,18,2025-03-18
Bauwesen und Bergbau,/Freelancer/K/Bauwesen-Und-Bergbau-Freelancer/Bauwesen-Und-Bergbau-sonstige-Freelancer,12,2025-03-18
Straßenbauer,/Freelancer/K/Bauwesen-Und-Bergbau-Freelancer/Strassenbauer-Freelancer,6,2025-03-18
"Baumaschinenführer Hoch-, Tief- und Wasserbau",/Freelancer/K/Bauwesen-Und-Bergbau-Freelancer/Baumaschinenf%C3%BChrer-Hoch-Tief-Und-Wasserbau-Freelancer,2,2025-03-18
Maurer und Steinhauer,/Freelancer/K/Bauwesen-Und-Bergbau-Freelancer/Maurer-Und-Steinhauer-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
Gesundheitswesen,/Freelancer/K/Andere-Freelancer,250,2025-03-18
Sonstige Berufe,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,174,2025-03-18
Pflegemanager,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,13,2025-03-18
Spezialisierte Krankenpfleger,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,12,2025-03-18
Medizinische Assistenten,/Freelancer/K/Andere-Freelancer/Medizinische-Assistenten-Freelancer,11,2025-03-18
Psychologen und pädagogische Berater,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,10,2025-03-18
Ärzte,/Freelancer/K/Andere-Freelancer/%C3%84rzte-Freelancer,8,2025-03-18
Forscher und Analytiker,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,7,2025-03-18
Sportausbilder / Sportlehrer,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,6,2025-03-18
Krankenpfleger,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,5,2025-03-18
Betreuer,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,5,2025-03-18
Mitarbeiter Kinderbetreuung,/Freelancer/K/Andere-Freelancer/Mitarbeiter-Kinderbetreuung-Freelancer,5,2025-03-18
Apotheker und Pharmazeuten,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,3,2025-03-18
Ernährungsberater und Therapeut,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,2,2025-03-18
Helfer,/Freelancer/K/Andere-Freelancer/Helfer-Freelancer,2,2025-03-18
Techniker und medizinische Gerätehersteller,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,1,2025-03-18
Hauptkrankenpfleger und Koordinatoren,/Freelancer/K/Andere-Freelancer/Hauptkrankenpfleger-Und-Koordinatoren-Freelancer,1,2025-03-18
Direktoren Pflege und Fürsorge,/Freelancer/K/Andere-Freelancer/Direktoren-Pflege-Und-F%C3%BCrsorge-Freelancer,1,2025-03-18
Zahnärzte und Spezialisten für Zahnheilkunde,/Freelancer/K/Andere-Freelancer/Zahn%C3%A4rzte-Und-Spezialisten-F%C3%BCr-Zahnheilkunde-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
"Freizeit, Sport und Tourismus",/Freelancer/K/Freizeit-Sport-Und-Tourismus-Freelancer,164,2025-03-18
Manager und Führungskräfte Tourismus und Wellness,/Freelancer/K/Freizeit-Sport-Und-Tourismus-Freelancer/Manager-Und-F%C3%BChrungskr%C3%A4fte-Tourismus-Und-Wellness-Freelancer,83,2025-03-18
Trainer und Coaches,/Freelancer/K/Freizeit-Sport-Und-Tourismus-Freelancer/Trainer-Und-Coaches-Freelancer,70,2025-03-18
Casino-Personal und Buchmacher,/Freelancer/K/Freizeit-Sport-Und-Tourismus-Freelancer/Casino-personal-Und-Buchmacher-Freelancer,5,2025-03-18
Mitarbeiter Reiseorganisation/Reisebüro,/Freelancer/K/Freizeit-Sport-Und-Tourismus-Freelancer/Mitarbeiter-Reiseorganisation/reiseb%C3%BCro-Freelancer,5,2025-03-18
Flugbegleiter,/Freelancer/K/Freizeit-Sport-Und-Tourismus-Freelancer/Flugbegleiter-Freelancer,1,2025-03-18
Mitarbeiter im Bereich Freizeit und Erholung,/Freelancer/K/Freizeit-Sport-Und-Tourismus-Freelancer/Mitarbeiter-Im-Bereich-Freizeit-Und-Erholung-Freelancer,1,2025-03-18
Produktion,/Freelancer/K/Andere-Freelancer,152,2025-03-18
Sonstige Berufe,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,174,2025-03-18
Pflegemanager,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,13,2025-03-18
Spezialisierte Krankenpfleger,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,12,2025-03-18
Medizinische Assistenten,/Freelancer/K/Andere-Freelancer/Medizinische-Assistenten-Freelancer,11,2025-03-18
Psychologen und pädagogische Berater,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,10,2025-03-18
Ärzte,/Freelancer/K/Andere-Freelancer/%C3%84rzte-Freelancer,8,2025-03-18
Forscher und Analytiker,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,7,2025-03-18
Sportausbilder / Sportlehrer,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,6,2025-03-18
Krankenpfleger,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,5,2025-03-18
Betreuer,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,5,2025-03-18
Mitarbeiter Kinderbetreuung,/Freelancer/K/Andere-Freelancer/Mitarbeiter-Kinderbetreuung-Freelancer,5,2025-03-18
Apotheker und Pharmazeuten,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,3,2025-03-18
Ernährungsberater und Therapeut,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,2,2025-03-18
Helfer,/Freelancer/K/Andere-Freelancer/Helfer-Freelancer,2,2025-03-18
Techniker und medizinische Gerätehersteller,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,1,2025-03-18
Hauptkrankenpfleger und Koordinatoren,/Freelancer/K/Andere-Freelancer/Hauptkrankenpfleger-Und-Koordinatoren-Freelancer,1,2025-03-18
Direktoren Pflege und Fürsorge,/Freelancer/K/Andere-Freelancer/Direktoren-Pflege-Und-F%C3%BCrsorge-Freelancer,1,2025-03-18
Zahnärzte und Spezialisten für Zahnheilkunde,/Freelancer/K/Andere-Freelancer/Zahn%C3%A4rzte-Und-Spezialisten-F%C3%BCr-Zahnheilkunde-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
"Installation, Reparatur und Wartung",/Freelancer/K/Installation-Reparatur-Und-Wartung-Freelancer,72,2025-03-18
"Leiter Installation, Reparatur und Wartung",/Freelancer/K/Installation-Reparatur-Und-Wartung-Freelancer/Leiter-Installation-Reparatur-Und-Wartung-Freelancer,22,2025-03-18
"Inspektoren/Prüfer Installation, Reparatur und Wartung",/Freelancer/K/Installation-Reparatur-Und-Wartung-Freelancer/Inspektoren/pr%C3%BCfer-Installation-Reparatur-Und-Wartung-Freelancer,16,2025-03-18
"Installation, Reparatur und Wartung",/Freelancer/K/Installation-Reparatur-Und-Wartung-Freelancer/Installation-Reparatur-Und-Wartung-sonstige-Freelancer,11,2025-03-18
Mechaniker Büro- und Kommunikationsgeräte,/Freelancer/K/Installation-Reparatur-Und-Wartung-Freelancer/seo_category:office-equipment-mechanics-freelancer/url,7,2025-03-18
Kfz-Mechaniker,/Freelancer/K/Installation-Reparatur-Und-Wartung-Freelancer/Kfz-mechaniker-Freelancer,6,2025-03-18
"Mechaniker für Sanitär-, Heizungs- und Klimatechnik",/Freelancer/K/Installation-Reparatur-Und-Wartung-Freelancer/Mechaniker-F%C3%BCr-Sanit%C3%A4r-Heizungs-Und-Klimatechnik-Freelancer,3,2025-03-18
"Mechaniker Flugzeug, Bahn und Schiffe",/Freelancer/K/Installation-Reparatur-Und-Wartung-Freelancer/Mechaniker-Flugzeug-Bahn-Und-Schiffe-Freelancer,3,2025-03-18
Mechaniker und Monteure,/Freelancer/K/Installation-Reparatur-Und-Wartung-Freelancer/Mechaniker-Und-Monteure-sonstige-Freelancer,3,2025-03-18
Mechaniker für mobile Werkzeuge,/Freelancer/K/Installation-Reparatur-Und-Wartung-Freelancer/Mechaniker-F%C3%BCr-Mobile-Werkzeuge-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
Transport und Verkehr,/Freelancer/K/Transport-Und-Verkehr-Freelancer,59,2025-03-18
Leiter Verkehr und Transport,/Freelancer/K/Transport-Und-Verkehr-Freelancer/Sonstige-Berufe-Freelancer,32,2025-03-18
Transport und Verkehr,/Freelancer/K/Transport-Und-Verkehr-Freelancer/Sonstige-Berufe-Freelancer,10,2025-03-18
Serviceleiter und Koordinatoren,/Freelancer/K/Transport-Und-Verkehr-Freelancer/Serviceleiter-Und-Koordinatoren-Freelancer,8,2025-03-18
Kurier und Zusteller,/Freelancer/K/Transport-Und-Verkehr-Freelancer/Sonstige-Berufe-Freelancer,2,2025-03-18
Chauffeure und Taxifahrer,/Freelancer/K/Transport-Und-Verkehr-Freelancer/Chauffeure-Und-Taxifahrer-Freelancer,2,2025-03-18
Berufskraftfahrer,/Freelancer/K/Transport-Und-Verkehr-Freelancer/Berufskraftfahrer-Freelancer,2,2025-03-18
"Inspektoren Luft-, Wasser- und Straßenverkehr",/Freelancer/K/Transport-Und-Verkehr-Freelancer/Inspektoren-Luft-Wasser-Und-Stra%C3%9Fenverkehr-Freelancer,1,2025-03-18
Piloten,/Freelancer/K/Transport-Und-Verkehr-Freelancer/Piloten-Freelancer,1,2025-03-18
Zugführer und -mechaniker,/Freelancer/K/Transport-Und-Verkehr-Freelancer/Zugf%C3%BChrer-Und-mechaniker-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
"Polizei, Feuerwehr und Sicherheit",/Freelancer/K/Polizei-Feuerwehr-Und-Sicherheit-Freelancer,34,2025-03-18
Detektiven und Sicherheitsexperten,/Freelancer/K/Polizei-Feuerwehr-Und-Sicherheit-Freelancer/Detektiven-Und-Sicherheitsexperten-Freelancer,19,2025-03-18
Sicherheits- und Überwachungsmitarbeiter,/Freelancer/K/Polizei-Feuerwehr-Und-Sicherheit-Freelancer/Sicherheits-Und-%C3%9Cberwachungsmitarbeiter-Freelancer,12,2025-03-18
"Leiter Polizei, Feuerwehr und Sicherheit",/Freelancer/K/Polizei-Feuerwehr-Und-Sicherheit-Freelancer/Leiter-Polizei-Feuerwehr-Und-Sicherheit-Freelancer,2,2025-03-18
Feuerwehrleute,/Freelancer/K/Polizei-Feuerwehr-Und-Sicherheit-Freelancer/Feuerwehrleute-Freelancer,1,2025-03-18
Natur- und Umweltwissenschaften,/Freelancer/K/Andere-Freelancer,28,2025-03-18
Sonstige Berufe,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,174,2025-03-18
Pflegemanager,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,13,2025-03-18
Spezialisierte Krankenpfleger,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,12,2025-03-18
Medizinische Assistenten,/Freelancer/K/Andere-Freelancer/Medizinische-Assistenten-Freelancer,11,2025-03-18
Psychologen und pädagogische Berater,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,10,2025-03-18
Ärzte,/Freelancer/K/Andere-Freelancer/%C3%84rzte-Freelancer,8,2025-03-18
Forscher und Analytiker,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,7,2025-03-18
Sportausbilder / Sportlehrer,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,6,2025-03-18
Krankenpfleger,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,5,2025-03-18
Betreuer,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,5,2025-03-18
Mitarbeiter Kinderbetreuung,/Freelancer/K/Andere-Freelancer/Mitarbeiter-Kinderbetreuung-Freelancer,5,2025-03-18
Apotheker und Pharmazeuten,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,3,2025-03-18
Ernährungsberater und Therapeut,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,2,2025-03-18
Helfer,/Freelancer/K/Andere-Freelancer/Helfer-Freelancer,2,2025-03-18
Techniker und medizinische Gerätehersteller,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,1,2025-03-18
Hauptkrankenpfleger und Koordinatoren,/Freelancer/K/Andere-Freelancer/Hauptkrankenpfleger-Und-Koordinatoren-Freelancer,1,2025-03-18
Direktoren Pflege und Fürsorge,/Freelancer/K/Andere-Freelancer/Direktoren-Pflege-Und-F%C3%BCrsorge-Freelancer,1,2025-03-18
Zahnärzte und Spezialisten für Zahnheilkunde,/Freelancer/K/Andere-Freelancer/Zahn%C3%A4rzte-Und-Spezialisten-F%C3%BCr-Zahnheilkunde-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
Hotellerie und Gastronomie,/Freelancer/K/Andere-Freelancer,24,2025-03-18
Sonstige Berufe,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,174,2025-03-18
Pflegemanager,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,13,2025-03-18
Spezialisierte Krankenpfleger,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,12,2025-03-18
Medizinische Assistenten,/Freelancer/K/Andere-Freelancer/Medizinische-Assistenten-Freelancer,11,2025-03-18
Psychologen und pädagogische Berater,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,10,2025-03-18
Ärzte,/Freelancer/K/Andere-Freelancer/%C3%84rzte-Freelancer,8,2025-03-18
Forscher und Analytiker,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,7,2025-03-18
Sportausbilder / Sportlehrer,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,6,2025-03-18
Krankenpfleger,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,5,2025-03-18
Betreuer,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,5,2025-03-18
Mitarbeiter Kinderbetreuung,/Freelancer/K/Andere-Freelancer/Mitarbeiter-Kinderbetreuung-Freelancer,5,2025-03-18
Apotheker und Pharmazeuten,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,3,2025-03-18
Ernährungsberater und Therapeut,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,2,2025-03-18
Helfer,/Freelancer/K/Andere-Freelancer/Helfer-Freelancer,2,2025-03-18
Techniker und medizinische Gerätehersteller,/Freelancer/K/Andere-Freelancer/Sonstige-Berufe-Freelancer,1,2025-03-18
Hauptkrankenpfleger und Koordinatoren,/Freelancer/K/Andere-Freelancer/Hauptkrankenpfleger-Und-Koordinatoren-Freelancer,1,2025-03-18
Direktoren Pflege und Fürsorge,/Freelancer/K/Andere-Freelancer/Direktoren-Pflege-Und-F%C3%BCrsorge-Freelancer,1,2025-03-18
Zahnärzte und Spezialisten für Zahnheilkunde,/Freelancer/K/Andere-Freelancer/Zahn%C3%A4rzte-Und-Spezialisten-F%C3%BCr-Zahnheilkunde-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
Reinigung und Wartung,/Freelancer/K/Reinigung-Und-Wartung-Freelancer,21,2025-03-18
Manager Reinigung und Wartung,/Freelancer/K/Reinigung-Und-Wartung-Freelancer/Manager-Reinigung-Und-Wartung-Freelancer,8,2025-03-18
Hausmeister und Verwalter,/Freelancer/K/Reinigung-Und-Wartung-Freelancer/Hausmeister-Und-Verwalter-Freelancer,8,2025-03-18
Mitarbeiter öffentlicher Reinigungsdienst,/Freelancer/K/Reinigung-Und-Wartung-Freelancer/Mitarbeiter-%C3%B6ffentlicher-Reinigungsdienst-Freelancer,3,2025-03-18
Reinigungskräfte für Gebäude und Räumlichkeiten,/Freelancer/K/Reinigung-Und-Wartung-Freelancer/Reinigungskr%C3%A4fte-F%C3%BCr-Geb%C3%A4ude-Und-R%C3%A4umlichkeiten-Freelancer,2,2025-03-18
Reinigungskräfte Fahrzeuge und Geräte,/Freelancer/K/Reinigung-Und-Wartung-Freelancer/Reinigungskr%C3%A4fte-Fahrzeuge-Und-Ger%C3%A4te-Freelancer,1,2025-03-18
Persönliche Dienstleistungen,/Freelancer/K/Pers%C3%B6nliche-Dienstleistungen-Freelancer,12,2025-03-18
"Tiertrainer, -betreuer und -aufpasser",/Freelancer/K/Pers%C3%B6nliche-Dienstleistungen-Freelancer/Tiertrainer-betreuer-Und-aufpasser-Freelancer,4,2025-03-18
Persönliche Dienstleistungen,/Freelancer/K/Pers%C3%B6nliche-Dienstleistungen-Freelancer/Pers%C3%B6nliche-Dienstleistungen-sonstige-Freelancer,3,2025-03-18
Stylisten,/Freelancer/K/Pers%C3%B6nliche-Dienstleistungen-Freelancer/Stylisten-Freelancer,3,2025-03-18
Bestattungspersonal,/Freelancer/K/Pers%C3%B6nliche-Dienstleistungen-Freelancer/Bestattungspersonal-Freelancer,2,2025-03-18
"Landwirtschaft, Viehwirtschaft und Fischerei",/Freelancer/K/Landwirtschaft-Viehwirtschaft-Und-Fischerei-Freelancer,10,2025-03-18
Landwirtschaftsmitarbeiter,/Freelancer/K/Landwirtschaft-Viehwirtschaft-Und-Fischerei-Freelancer/Landwirtschaftsmitarbeiter-Freelancer,4,2025-03-18
Inspektoren und Kontrolleure,/Freelancer/K/Landwirtschaft-Viehwirtschaft-Und-Fischerei-Freelancer/Inspektoren-Und-Kontrolleure-Freelancer,4,2025-03-18
Landwirtschafts- und Viehzuchtexperten,/Freelancer/K/Landwirtschaft-Viehwirtschaft-Und-Fischerei-Freelancer/Landwirtschafts-Und-Viehzuchtexperten-Freelancer,2,2025-03-18
Bundeswehr,/Freelancer/K/Bundeswehr-Freelancer,3,2025-03-18
Bundeswehr,/Freelancer/K/Bundeswehr-Freelancer/Bundeswehr-sonstige-Freelancer,2,2025-03-18
"Berufssoldat, Gefreite und Unteroffiziere Bundeswehr",/Freelancer/K/Bundeswehr-Freelancer/Berufssoldat-Gefreite-Und-Unteroffiziere-Bundeswehr-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
