category,href,num_freelancers,date
Schreibkräfte,/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Sonstige-Berufe-Freelancer,69,2025-03-18
Manager Betriebsverwaltung und -politik,/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Manager-Betriebsverwaltung-Und-politik-Freelancer,57,2025-03-18
Behördenmitarbeiter,/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Beh%C3%B6rdenmitarbeiter-Freelancer,40,2025-03-18
Generaldirektoren,/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Generaldirektoren-Freelancer,30,2025-03-18
Behördenleiter,/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Beh%C3%B6rdenleiter-Freelancer,3,2025-03-18
"Gesetzgeber, Volksvertreter",/Freelancer/K/Management-Unternehmen-Strategie-Freelancer/Gesetzgeber-Volksvertreter-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
"Kunst, Kultur und Medien",/Freelancer/K/Design-Kunst-Medien-Freelancer,24393,2025-03-18
Design,/Freelancer/K/Design-Kunst-Medien-Freelancer/Design-Freelancer,15034,2025-03-18
Schriftsteller und Dichter,/Freelancer/K/Design-Kunst-Medien-Freelancer/Redaktion-Freelancer,7287,2025-03-18
Grafik- / Animationssoftware,/Freelancer/K/Design-Kunst-Medien-Freelancer/Grafik-Animationssoftware-Freelancer,6875,2025-03-18
Medien,/Freelancer/K/Design-Kunst-Medien-Freelancer/Medien-Freelancer,4616,2025-03-18
Kunst,/Freelancer/K/Design-Kunst-Medien-Freelancer/Kunst-Freelancer,3888,2025-03-18
Audio/Video Herausgeber/Lektoren,/Freelancer/K/Design-Kunst-Medien-Freelancer/Audio-video-Herausgeber-lektoren-Freelancer,114,2025-03-18
Journalisten und Redakteure,/Freelancer/K/Design-Kunst-Medien-Freelancer/Journalisten-Und-Redakteure-Freelancer,70,2025-03-18
"Kunst, Kultur und Medien",/Freelancer/K/Design-Kunst-Medien-Freelancer/Kunst-Kultur-Und-Medien-sonstige-Freelancer,70,2025-03-18
Fotografen und Kameramänner/-frauen,/Freelancer/K/Design-Kunst-Medien-Freelancer/Fotografen-Und-Kameram%C3%A4nner-frauen-Freelancer,55,2025-03-18
