group,category,num
Other,Front End,209
Other,ITIL,204
Other,Maschinenbau,201
Other,Wissenschaft,200
Other,Beschaffung,195
Other,Künstliche Intelligenz,192
Other,Verhandlung,191
Other,Nachhaltigkeit,189
Other,Terraform,187
Other,Rechnerarchitektur,180
Other,Ansible,174
Other,Techniker Installation und Wartung elektrischer Geräte,174
Other,Rechnungswesen,173
Other,Technisches Geschick,171
Other,Gitlab,169
Other,Juristen,169
Other,Handel,162
Other,Anforderungsanalyse,161
Other,Multidisziplinären Ansatz,158
Other,Personal- und Arbeitsmarktexperten,157
Other,Steuerung,157
Other,Digitalisierung,154
Other,Wirtschaftsinformatik,148
Other,Großbritannien,147
Other,Planer / Koordinatoren,147
Other,Technische Dokumentation,146
Other,Sachsen-Anhalt,142
Other,Sachsen,131
Other,IT-Koordinatoren,129
Other,Schleswig-Holstein,127
Other,Bremen,123
Other,USA,122
Other,Thüringen,120
Other,"Ingenieure, Konstrukteure und Techniker Elektronik",100
Other,Kalkulatoren und Planer technischer Arbeiten,99
Other,Virtualisierung,99
Other,Subunternehmer Bauwesen,90
Other,Verkauf und Handel,88
Other,Niederlande,83
Other,Bohrarbeitenaufseher / Bohrarbeitenprüfer,82
Other,Produktion,82
Other,Belgien,78
Other,Maschinen- / Anlagenbau,75
Other,Brandenburg,72
Other,Leitende Angestelle IT,72
Other,Mess- / Regelungstechnik,69
Other,Frankreich,68
Other,Spanien,68
Other,Mitarbeiter Verwaltung,66
Other,Leiter Einkauf und Lagerverwaltung,59
Other,Käufer / Beschaffer,58
Other,Fahrzeugbau / -technik,49
Other,"Installation, Reparatur und Wartung",46
Other,Produktionstechnik,46
Other,Behördenleiter,45
Other,"Ingenieure, Konstrukteure und Techniker im Maschinenbau",45
Other,Versorgungstechnik,45
Other,Handwerk,43
Other,Schreibkräfte,41
Other,Vertrieb,41
Other,Installateure und Klempner,40
Other,Saarland,40
Other,Architektur,39
Other,Installation / Montage / Wartung,39
Other,Medizinische Assistenten,38
Other,Reinigung und Wartung,38
Other,Natur- und Umweltwissenschaften,37
